5462 Siglistorf	47.5453	8.3806
5463 Wislikofen	47.5583	8.3639
5464 Rümikon AG	47.5656	8.3754
5465 Mellikon	47.5694	8.3542
5466 Kaiserstuhl AG	47.5684	8.418
5467 Fisibach	47.5639	8.4097
9050 Appenzell Meistersrüte	47.3446	9.4324
9050 Appenzell Enggenhütten	47.3531	9.3623
9050 Appenzell Steinegg	47.321999999999996	9.4315
9050 Appenzell Eggerstanden	47.3324	9.4686
9050 Appenzell	47.331	9.41
9050 Appenzell Schlatt	47.3531	9.3623
9054 Haslen AI	47.3693	9.3675
9057 Schwende	47.303000000000004	9.4367
9057 Weissbad	47.3089	9.4347
9057 Wasserauen	47.2834	9.4258
9058 Brülisau	47.2986	9.457
9108 Gonten	47.3272	9.347000000000001
9108 Gontenbad	47.3331	9.3737
9108 Jakobsbad	47.3196	9.3263
9413 Oberegg	47.4253	9.5513
9413 Oberegg	47.4253	9.5513
9442 Büriswilen	47.4349	9.6058
9063 Stein AR	47.3713	9.3435
9064 Hundwil	47.3646	9.3185
9100 Herisau	47.3861	9.2792
9103 Schwellbrunn	47.3525	9.2489
9104 Waldstatt	47.3563	9.2834
9105 Schönengrund	47.3259	9.2269
9107 Urnäsch	47.3167	9.2795
9112 Schachen b. Herisau	47.3865	9.2445
9037 Speicherschwendi	47.4265	9.4378
9042 Speicher	47.4109	9.4433
9043 Trogen	47.4078	9.465
9052 Niederteufen	47.394	9.3667
9053 Teufen AR	47.3908	9.3864
9055 Bühler	47.3735	9.4251
9056 Gais	47.3615	9.4536
9062 Lustmühle	47.3991	9.3585
9035 Grub AR	47.4477	9.5097
9038 Rehetobel	47.4261	9.482999999999999
9044 Wald AR	47.4156	9.491
9405 Wienacht-Tobel	47.4648	9.5334
9410 Heiden	47.4425	9.5329
9411 Reute AR	47.4201	9.5731
9411 Schachen b. Reute	47.4268	9.5618
9426 Lutzenberg	47.4613	9.5761
9427 Wolfhalden	47.4527	9.5481
9428 Walzenhausen	47.4487	9.605
2333 La Ferrière	47.143	6.8922
2345 Le Cerneux-Veusil	47.1794	6.9669
2515 Prêles	47.0993	7.1302
2516 Lamboing	47.1168	7.1348
2517 Diesse	47.1134	7.1169
2518 Nods	47.1149	7.0801
2520 La Neuveville	47.0659	7.0972
2534 Orvin	47.1607	7.2137
2534 Les Prés-d'Orvin	47.157	7.176
2535 Frinvillier	47.1691	7.2549
2536 Plagne	47.1883	7.2871
2537 Vauffelin	47.1873	7.3001
2538 Romont BE	47.1886	7.3406
2603 Péry	47.193999999999996	7.2491
2604 La Heutte	47.1907	7.2261
2605 Sonceboz-Sombeval	47.1915	7.1785
2606 Corgémont	47.1946	7.1452
2607 Cortébert	47.1883	7.1089
2608 Montagne-de-Courtelary	47.1757	7.1111
2608 Courtelary	47.1782	7.0724
2610 Les Pontins	47.1312	6.9989
2610 Mont-Crosin	47.1835	7.0343
2610 St-Imier	47.1582	7.0066
2610 Mont-Soleil	47.1597	6.9868
2612 Cormoret	47.1708	7.0542
2613 Villeret	47.1584	7.0189
2615 Montagne-de-Sonvilier	47.1388	6.9639999999999995
2615 Sonvilier	47.1388	6.9639999999999995
2616 Renan BE	47.1269	6.9283
2710 Tavannes	47.2208	7.1976
2712 Le Fuet	47.2448	7.184
2713 Bellelay	47.2633	7.1666
2715 Châtelat	47.2628	7.1885
2715 Monible	47.277	7.2033
2716 Sornetan	47.2746	7.2169
2717 Fornet-Dessous	47.2914	7.1923
2717 Rebévelier	47.2914	7.1923
2720 La Tanne	47.2221	7.1533
2720 Tramelan	47.2239	7.0995
2722 Les Reussilles	47.2259	7.0846
2723 Mont-Tramelan	47.21	7.0648
2732 Saules BE	47.2457	7.2218
2732 Loveresse	47.2439	7.2388
2732 Reconvilier	47.2343	7.2224
2732 Saicourt	47.2428	7.2075
2733 Pontenet	47.2433	7.2546
2735 Champoz	47.2558	7.2953
2735 Bévilard	47.2371	7.2832
2735 Malleray	47.2384	7.2729
2736 Sorvilier	47.2393	7.3037
2738 Court	47.2396	7.3365
2740 Moutier	47.2782	7.3695
2742 Perrefitte	47.2757	7.3416
2743 Eschert	47.2753	7.4013
2744 Belprahon	47.2834	7.4058
2745 Grandval	47.2828	7.425
2746 Crémines	47.2833	7.4403
2747 Corcelles BE	47.2849	7.4524
2747 Seehof	47.3032	7.5209
2748 Les Ecorcheresses	47.2773	7.2803
2748 Souboz	47.2749	7.2445
2762 Roches BE	47.302	7.3813
2827 Schelten	47.3343	7.5517
2502 Biel/Bienne	47.1371	7.2461
2503 Biel/Bienne	47.1371	7.2461
2504 Biel/Bienne	47.1371	7.2461
2505 Biel/Bienne	47.1371	7.2461
2512 Tüscherz-Alfermée	47.1141	7.1942
2513 Twann	47.0942	7.157
2514 Ligerz	47.0837	7.1348
2532 Macolin	47.138999999999996	7.2141
2533 Evilard	47.1505	7.239
2542 Pieterlen	47.175	7.3379
2543 Lengnau BE	47.1815	7.3681
2552 Orpund	47.1389	7.3078
2553 Safnern	47.15	7.3231
2554 Meinisberg	47.1597	7.348
2555 Brügg BE	47.1237	7.2789
2556 Schwadernau	47.1278	7.3078
2556 Scheuren	47.1347	7.3209
2558 Aegerten	47.1211	7.2916
2560 Nidau	47.1255	7.2403
2562 Port	47.1141	7.2589
2563 Ipsach	47.1139	7.2303
2564 Bellmund	47.1085	7.2461
2572 Sutz	47.1034	7.2208
2572 Mörigen	47.0851	7.2141
2557 Studen BE	47.113	7.3032
2565 Jens	47.0963	7.2636
2575 Hagneck	47.056999999999995	7.1853
2575 Täuffelen	47.0652	7.197
2575 Gerolfingen	47.0771	7.1989
2576 Lüscherz	47.0446	7.1527
2577 Finsterhennen	47.0248	7.1754
2577 Siselen BE	47.0324	7.1888
3035 Frieswil	46.9951	7.2866
3036 Detligen	47.0031	7.2736
3053 Lätti	47.0378	7.4322
3054 Schüpfen	47.0366	7.3772
3225 Müntschemier	46.9955	7.1463
3226 Treiten	47.0086	7.1603
3232 Ins	47.0058	7.1061
3233 Tschugg	47.0253	7.081
3234 Vinelz	47.034	7.1161
3235 Erlach	47.0422	7.0973
3236 Gampelen	47.012	7.0577
3237 Brüttelen	47.0227	7.1479
3238 Gals	47.0284	7.0518
3250 Lyss	47.0741	7.3066
3251 Wengi b. Büren	47.0862	7.3954
3251 Ruppoldsried	47.0891	7.4265
3252 Worben	47.1028	7.2952
3255 Rapperswil BE	47.0632	7.4109
3256 Dieterswil	47.0565	7.4259
3256 Seewil	47.0495	7.4098
3256 Bangerten b. Dieterswil	47.053000000000004	7.4178
3257 Ammerzwil BE	47.0704	7.3418
3257 Grossaffoltern	47.0659	7.3623
3262 Suberg	47.06100000000001	7.3373
3263 Büetigen	47.106	7.337999999999999
3264 Diessbach b. Büren	47.1078	7.3612
3266 Wiler b. Seedorf	47.0499	7.321000000000001
3267 Seedorf BE	47.0345	7.3125
